The Lost City,John Smith,American,HarperCollins,2001,320,Adventure
Shadows of Tomorrow,Sarah Johnson,British,Random House,2010,280,Science Fiction
The Silent River,Emily Clark,Canadian,Penguin,2015,250,Mystery
Echoes of the Past,Michael Brown,Australian,Simon & Schuster,2003,310,Historical Fiction
The Final Stand,David Wilson,American,Macmillan,2008,400,Thriller
Whispers in the Dark,Linda Taylor,British,Bloomsbury,2012,220,Horror
Journey to the Stars,Richard Lee,American,Orbit,2017,450,Science Fiction
The Forgotten Garden,Barbara White,Canadian,Vintage,2009,370,Romance
Hidden Truths,James Harris,Australian,HarperCollins,2005,300,Mystery
The Crimson Crown,Elizabeth Walker,British,Random House,2011,390,Fantasy
A Tale of Two Hearts,William Martin,American,Simon & Schuster,2014,275,Romance
Broken Dreams,Jennifer Young,Canadian,Penguin,2016,260,Drama
Into the Unknown,Thomas Hall,Australian,Macmillan,2002,340,Adventure
Qeyretname,Ali Rzayev,British,Bloomsbury,2013,400,Historical Fiction
Voices from Beyond,Daniel Scott,American,Orbit,2018,290,Horror
Rising Storm,Karen Adams,Canadian,Vintage,2007,410,Thriller
The Golden Empire,Steven Baker,Australian,HarperCollins,2004,360,Fantasy
Dance of Shadows,Nancy Mitchell,British,Random House,2010,280,Mystery
Edge of Eternity,Christopher Moore,American,Simon & Schuster,2015,430,Science Fiction
Tides of Destiny,Patricia Green,Canadian,Penguin,2011,310,Adventure
Windswept,Robert King,Australian,Macmillan,2006,295,Romance
The Burning Sky,Lisa Wright,British,Bloomsbury,2013,370,Fantasy
City of Secrets,Kevin Thompson,American,Orbit,2017,330,Thriller
The Midnight Hour,Rebecca Lewis,Canadian,Vintage,2009,260,Horror
Path of Legends,Mark Robinson,Australian,HarperCollins,2008,390,Adventure
Shattered Illusions,Laura Edwards,British,Random House,2014,280,Drama
The Infinite Horizon,Eric Carter,American,Simon & Schuster,2016,420,Science Fiction
Secrets of the Heart,Angela Turner,Canadian,Penguin,2010,300,Romance
The Shadow Throne,Matthew Collins,Australian,Macmillan,2012,360,Fantasy
Echoes in the Fog,Stephanie Nelson,British,Bloomsbury,2015,310,Mystery
Fading Light,Nicholas Perez,American,Orbit,2018,270,Horror
Beyond the Veil,Michelle Hughes,Canadian,Vintage,2013,340,Thriller
The Silver Key,Andrew Ward,Australian,HarperCollins,2005,400,Fantasy
Twilight Memories,Susan Cox,British,Random House,2009,290,Romance
Waves of Fate,Anthony Richardson,American,Simon & Schuster,2014,310,Adventure
The Glass Kingdom,Rachel Simmons,Canadian,Penguin,2016,250,Drama
Eternal Quest,Joshua Foster,Australian,Macmillan,2011,370,Fantasy
Veins of Gold,Victoria Bennett,British,Bloomsbury,2013,340,Historical Fiction
Obsidian Heart,Brandon Brooks,American,Orbit,2017,280,Horror
Forsaken Path,Deborah Gray,Canadian,Vintage,2012,320,Thriller
Stormwatch,Jeremy Cooper,Australian,HarperCollins,2008,350,Adventure
The Lost Manuscript,Megan Price,British,Random House,2015,300,Mystery
Torn Skies,Sean Bell,American,Simon & Schuster,2019,390,Science Fiction
Gilded Chains,Christina Ward,Canadian,Penguin,2014,275,Romance
Silent Echo,Philip Murphy,Australian,Macmillan,2010,320,Drama
The Hidden Labyrinth,Allison Webb,British,Bloomsbury,2016,310,Fantasy
Serpent's Tongue,Dylan Reid,American,Orbit,2018,280,Horror
Pale Horizon,Kathryn Price,Canadian,Vintage,2013,340,Thriller
The Vanishing Point,Peter Long,Australian,HarperCollins,2007,370,Adventure
Frostfire,Julie Perry,British,Random House,2012,300,Fantasy
Embers of Time,Aaron Powell,American,Simon & Schuster,2015,330,Historical Fiction
Bitter Harvest,Samantha Payne,Canadian,Penguin,2011,260,Drama
The Painted Mask,Adam Russell,Australian,Macmillan,2014,400,Mystery
Iron Crown,Melissa Lowe,British,Bloomsbury,2018,290,Fantasy
Hidden Flames,Brian Hamilton,American,Orbit,2019,310,Thriller
The Seventh Seal,Carolyn Day,Canadian,Vintage,2015,350,Science Fiction
Nightshade,Luke Grant,Australian,HarperCollins,2012,320,Horror
The Scarlet Tapestry,Julie Andrews,British,Random House,2013,370,Historical Fiction
Moonlit Vale,Jordan Ford,American,Simon & Schuster,2017,310,Romance
The Gilded Compass,Katie Hart,Canadian,Penguin,2016,280,Adventure
Silver Lining,Sean Dean,Australian,Macmillan,2010,340,Drama
Velvet Chains,Rebecca West,British,Bloomsbury,2014,330,Romance
Twisted Fate,Tyler Lowe,American,Orbit,2018,290,Thriller
Midnight Crossroads,Karen Franklin,Canadian,Vintage,2015,370,Mystery
Crimson Horizon,Jason Austin,Australian,HarperCollins,2011,300,Fantasy
Shadowspire,Donna Morgan,British,Random House,2017,420,Science Fiction
Golden Threads,Rachel Chambers,American,Simon & Schuster,2019,310,Historical Fiction
The Obsidian Tower,Emily Griffin,Canadian,Penguin,2012,300,Horror
Winds of the North,Steven Barrett,Australian,Macmillan,2013,350,Adventure
Raven's Call,Patricia Harper,British,Bloomsbury,2016,270,Mystery
The Ivory Throne,Ryan Douglas,American,Orbit,2017,390,Fantasy
Frostbound,Jessica Riley,Canadian,Vintage,2018,280,Horror
The Cursed Crown,Daniel Armstrong,Australian,HarperCollins,2014,410,Fantasy
Distant Shores,Laura Nichols,British,Random House,2015,330,Romance
Phoenix Rising,Matthew Chapman,American,Simon & Schuster,2019,340,Science Fiction
Echoes of Midnight,Ashley Gibson,Canadian,Penguin,2013,300,Horror
